40,41,42,43,80,81,82,83,40,41,42,43,40,41,42,43
0,1,2,3,0,12,13,14,0,1,2,3,4,5,6,7
20,21,22,23,20,32,33,34,20,21,22,23,24,25,26,27
40,41,42,43,40,52,53,54,40,41,42,43,44,45,46,47
0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
20,21,22,23,20,21,22,23,60,61,62,63,20,21,22,23
40,41,42,43,40,41,42,43,80,81,82,83,40,41,42,43
0,1,2,3,0,1,2,3,0,12,13,14,0,1,2,3
20,21,22,23,20,21,22,23,20,32,33,34,20,21,22,23
40,41,42,43,40,41,42,43,40,52,53,54,40,41,42,43
0,1,2,3,0,1,2,3,0,1,2,3,15,16,17,18
60,61,62,63,20,21,22,23,20,21,22,23,35,36,37,38
80,81,82,83,40,41,42,43,40,41,42,43,55,56,57,58
0,1,2,3,8,9,10,11,0,1,2,3,0,1,2,3
20,21,22,23,28,29,30,31,20,21,22,23,20,21,22,23
40,41,42,43,48,49,50,51,40,41,42,43,40,41,42,43
4,5,6,7,0,1,2,3,8,9,10,11,0,1,2,3
24,25,26,27,20,21,22,23,28,29,30,31,20,21,22,23
44,45,46,47,40,41,42,43,48,49,50,51,40,41,42,43
0,1,2,3,0,12,13,14,0,1,2,3,0,1,2,3
20,21,22,23,20,32,33,34,20,21,22,23,60,61,62,63
40,41,42,43,40,52,53,54,40,41,42,43,80,81,82,83
0,1,2,3,0,1,2,3,0,1,2,3,8,9,10,11
20,21,22,23,20,21,22,23,20,21,22,23,28,29,30,31
40,41,42,43,40,41,42,43,40,41,42,43,48,49,50,51
0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
20,21,22,23,60,61,62,63,20,21,22,23,20,21,22,23
40,41,42,43,80,81,82,83,40,41,42,43,40,41,42,43
0,1,2,3,0,1,2,3,4,5,6,7,0,1,2,3
20,21,22,23,20,21,22,23,24,25,26,27,20,21,22,23
40,41,42,43,40,41,42,43,44,45,46,47,40,41,42,43
8,9,10,11,0,1,2,3,0,1,2,3,8,9,10,11
28,29,30,31,20,21,22,23,20,21,22,23,28,29,30,31
48,49,50,51,40,41,42,43,40,41,42,43,48,49,50,51
0,1,2,3,4,5,6,7,0,1,2,3,0,1,2,3
20,21,22,23,24,25,26,27,20,21,22,23,20,21,22,23
40,41,42,43,44,45,46,47,40,41,42,43,40,41,42,43
0,1,2,3,0,1,2,3,0,12,13,14,4,5,6,7
20,21,22,23,20,21,22,23,20,32,33,34,24,25,26,27
40,41,42,43,40,41,42,43,40,52,53,54,44,45,46,47
8,9,10,11,0,1,2,3,0,1,2,3,0,1,2,3
28,29,30,31,20,21,22,23,20,21,22,23,20,21,22,23
