40,41,42,43,40,41,42,43,40,41,42,43,40,41,42,43
160,161,162,3,0,1,2,3,0,1,2,3,0,1,2,3
180,181,182,23,20,21,22,23,20,21,22,23,20,21,22,23
200,201,202,203,40,41,42,43,40,41,42,43,40,41,42,43
0,60,61,62,0,1,2,3,0,1,2,3,0,1,2,3
20,80,81,82,20,21,22,23,20,21,22,23,20,21,22,25
40,100,101,102,40,41,42,43,40,41,42,43,40,41,44,45
120,121,122,3,0,1,2,3,0,1,2,6,7,120,121,122
140,141,142,23,20,21,22,23,20,21,25,26,27,140,141,142
160,161,162,43,40,41,42,43,40,44,45,46,47,41,42,43
160,161,162,3,0,1,2,3,0,60,61,62,0,1,2,3
180,181,182,23,20,21,22,23,20,80,81,82,20,21,22,23
200,201,202,203,40,41,42,43,40,100,101,102,40,41,42,43
8,9,10,11,160,161,6,7,120,121,122,3,0,1,2,3
20,29,30,31,180,25,26,27,140,141,142,23,20,21,22,23
40,41,42,51,44,45,46,47,40,41,42,43,40,41,42,43
0,1,2,3,8,9,10,11,160,161,162,3,0,1,2,3
20,21,22,23,20,29,30,31,180,181,182,23,20,21,22,23
40,41,42,43,40,41,42,51,200,201,202,203,40,41,42,43
0,1,2,3,0,1,6,7,120,121,122,11,160,161,162,3
20,21,22,23,20,25,26,27,140,141,142,31,180,181,182,23
40,41,42,43,44,45,46,47,40,41,42,51,200,201,202,203
0,1,6,7,120,121,122,3,0,1,2,3,8,9,10,11
20,25,26,27,140,141,142,23,20,21,22,23,20,29,30,31
44,45,46,47,40,41,42,43,40,41,42,43,40,41,42,51
120,121,122,3,0,1,2,3,0,1,2,3,0,1,2,3
140,141,142,23,20,21,22,23,20,21,22,23,20,21,22,23
40,41,42,43,40,41,42,43,40,41,42,43,40,41,42,43
160,161,162,3,0,1,2,3,0,1,2,3,0,1,6,7
180,181,182,23,20,21,22,23,20,21,22,23,20,25,26,27
200,201,202,203,40,41,42,43,40,41,42,43,44,45,46,47
8,9,10,11,160,161,162,3,0,1,2,3,8,9,10,11
20,29,30,31,180,181,182,23,20,21,22,23,20,29,30,31
